TF,Re,TL_OUT,TU_OUT,Tb,Tb_max,PL_in,PL_out,PU_in,PU_out,hi,wc,ho,Dhi,Dho,Dh_m,vin,del_PL,del_PU,del_p,Rth,T_mean,h_mean,f,Nu
1,50,311.46,306.7,314.84,317.88,3873.1,4.6726,3873.1,4.6726,525,100,525,168,168,168,0.299050195,3868.4274,3868.4274,3868.4274,0.2473,301.115,72859.74499,0.364005538,20.4007286
1,100,303.29,299.58,307.21,308.98,7809.7,11.066,7809.6,11.067,525,100,525,168,168,168,0.59810039,7798.634,7798.533,7798.5835,0.1583,297.2925,100831.8629,0.183454883,28.2329216
1,200,299,296.28,303.81,305.13,15869,27.053,15869,27.063,525,100,525,168,168,168,1.19620078,15841.947,15841.937,15841.942,0.1198,295.395,118835.413,0.093166971,33.27391563
1,300,297.48,295.23,302.6,303.8,24190,45.783,24189,45.807,525,100,525,168,168,168,1.794301171,24144.217,24143.193,24143.705,0.1065,294.7525,127429.1176,0.063106625,35.68015291
1,400,296.69,294.72,301.91,303.06,32773,66.528,32772,66.559,525,100,525,168,168,168,2.392401561,32706.472,32705.441,32705.9565,0.0991,294.4275,133645.1721,0.048086196,37.42064818
1,500,296.18,294.41,301.43,302.56,41623,89.006,41622,89.114,525,100,525,168,168,168,2.990501951,41533.994,41532.886,41533.44,0.0941,294.2225,138744.3635,0.03908152,38.84842178
1,600,295.84,294.21,301.07,302.18,50735,113.56,50733,113.67,525,100,525,168,168,168,3.588602341,50621.44,50619.33,50620.385,0.0903,294.0875,143215.1808,0.03307779,40.10025063
0.75,50,309.67,305.04,313.06,315.94,4419.5,6.5506,4419.5,6.5432,600,100,450,171.4285714,163.6363636,167.5324675,0.293069191,4412.9494,4412.9568,4412.9531,0.2279,300.2525,78079.25044,0.431161927,21.80134915
0.75,100,302.39,298.82,306.46,308.1,9005.5,15.855,9005.5,15.824,600,100,450,171.4285714,163.6363636,167.5324675,0.586138382,8989.645,8989.676,8989.6605,0.1495,296.8775,104356.9006,0.219580814,29.1386151
0.75,200,298.53,295.92,303.42,304.63,18663,39.559,18663,39.45,600,100,450,171.4285714,163.6363636,167.5324675,1.172276765,18623.441,18623.55,18623.4955,0.1148,295.1875,121469.7844,0.113724047,33.91688785
